species	Name	Formula	Mass	N_atoms	Charge	Detected	pwd_xyz	In_Network	Spin	Energy	ZPE
H+	Hydrogencation	H1+	1.00784	1	1	False	./species/H+_0.xyz	True	0	0.0	0.0
H	Hydrogenatom	H1	1.00784	1	0	False	./species/H_2Sigma.xyz	True	2	-0.499821	0.0
H-	Hydrogeion	H1-	1.00784	1	-1	False	./species/H-_1.xyz	True	1	-0.52656215152	0.0
He+	Heliumcation	He1+	4.002602	1	1	False	./species/He+_2.xyz	True	2	-1.9989211039	0.0
He	Heliumatom	He1	4.002602	1	0	False	./species/He_1Sigma.xyz	True	1	-2.900598	0.0
C+	Carboncation	C1+	12.0107	1	1	False	./species/C+_2.xyz	True	2	-37.370762258	0.0
C	Carbonatom	C1	12.0107	1	0	False	./species/C_3Pi.xyz	True	3	-37.7817591	0.0
C-	Carboion	C1-	12.0107	1	-1	False	./species/C-_4.xyz	True	4	-37.826518402	0.0
N+	Nitrogencation	N1+	14.0067	1	1	False	./species/N+_3.xyz	True	3	-53.984885475	0.0
N	Nitrogenatom	N1	14.0067	1	0	False	./species/N_4Sigma.xyz	True	4	-54.51678689999999	0.0
O+	Oxygencation	O1+	15.999	1	1	False	./species/O+_4.xyz	True	4	-74.485604357	0.0
O	Oxygenatom	O1	15.999	1	0	False	./species/O_3Sigma.xyz	True	3	-74.97885720000002	0.0
O-	oxygeion	O1-	15.999	1	-1	False	./species/O-_2.xyz	True	2	-75.027905253	0.0
F+	Fluorinecation	F1	18.9984	1	1	False	./species/F+_3.xyz	True	3	-98.993365802	0.0
F	Fluorineatom	F1	18.9984	1	0	False	./species/F_2Pi.xyz	True	2	-99.627827	0.0
Na+	Sodiumcation	Na1+	22.98977	1	1	False	./species/Na+_1.xyz	True	1	-161.676018791	0.0
Na	Sodiumatom	Na1	22.98977	1	0	False	./species/Na_2S.xyz	True	2	-161.858038	0.0
Mg+	Magnesiumcation	Mg1+	24.305	1	1	False	./species/Mg+_2.xyz	True	2	-199.3705439	0.0
Mg	Magnesiumatom	Mg	24.305	1	0	False	./species/Mg_1Sigma.xyz	True	1	-199.647101	0.0
Si+	Siliconcation	Si1+	28.0855	1	1	False	./species/Si+_2.xyz	True	2	-288.6355429	0.0
Si	Siliconatom	Si1	28.0855	1	0	False	./species/Si_3Pi.xyz	True	3	-288.9337829	0.0
P+	Phosphoruscation	P1+	30.97376	1	1	False	./species/P+_3.xyz	True	3	-340.4371951	0.0
P	Phosphorusatom	P1	30.97376	1	0	False	./species/P_4Sigma.xyz	True	4	-340.8221436	0.0
S+	Sulfurcation	S1+	32.065	1	1	False	./species/S+_4.xyz	True	4	-397.2830518	0.0
S	Sulphuratom	S1	32.065	1	0	False	./species/S_3Pi.xyz	True	3	-397.6561008	0.0
S-	Sulfuranion	S1-	32.065	1	-1	False	./species/S-_2.xyz	True	2	-397.72775529	0.0
Cl+	Chlorinecation	Cl1+	35.453	1	1	False	./species/Cl+_3.xyz	True	3	-459.20662123	0.0
Cl	Chlorineatom	Cl1	35.453	1	0	False	./species/Cl_2Pi.xyz	True	2	-459.6762037	0.0
